item_path,item_kind,status,shadow_item,drift_confidence,shadow_elicit_impl,shadow_can_be_direct,shadow_missing_external_traits,shadow_missing_our_traits,notes
elicit_geo::workflow::transformations_plugin::RemoveRepeatedPointsLinestringParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::transformations_plugin::RotateLinestringParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::transformations_plugin::RotatePolygonParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::transformations_plugin::ScalePolygonParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::transformations_plugin::SimplifyLinestringRdpParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::transformations_plugin::SimplifyLinestringVwParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::transformations_plugin::SimplifyPolygonParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::transformations_plugin::SkewLinestringParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::transformations_plugin::SkewPolygonParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::transformations_plugin::SmoothLinestringParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::transformations_plugin::SmoothPolygonParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::transformations_plugin::TransformationApplied,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::transformations_plugin::TranslateLinestringParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::transformations_plugin::TranslatePointParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::transformations_plugin::TranslatePolygonParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::transformations_plugin::densify_linestring_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::transformations_plugin::densify_polygon_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::transformations_plugin::map_coords_linestring_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::transformations_plugin::map_coords_point_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::transformations_plugin::map_coords_polygon_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::transformations_plugin::remove_repeated_points_linestring_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::transformations_plugin::rotate_linestring_around_centroid_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::transformations_plugin::rotate_polygon_around_centroid_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::transformations_plugin::scale_polygon_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::transformations_plugin::simplify_linestring_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::transformations_plugin::simplify_linestring_vw_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::transformations_plugin::simplify_polygon_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
